type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload,instances_instance_13_id,instances_instance_13_cost,instances_instance_13_time_inUse,instances_instance_13_time_available,instances_instance_13_time_workload,instances_instance_14_id,instances_instance_14_cost,instances_instance_14_time_inUse,instances_instance_14_time_available,instances_instance_14_time_workload,instances_instance_15_id,instances_instance_15_cost,instances_instance_15_time_inUse,instances_instance_15_time_available,instances_instance_15_time_workload,instances_instance_16_id,instances_instance_16_cost,instances_instance_16_time_inUse,instances_instance_16_time_available,instances_instance_16_time_workload
Role_12,1489728.0,2.1601056E7,1.3407552E7,8193504.0,1.7876736E7,1.3013212235294119E7,2.21224608E8,4819.0,10334.0,6776.0,5773.0,7959.0,7045.058823529412,119766.0,744864.0,744864.0,744864.0,744864.0,744864.0,744864.0,1.2662688E7,0.006469637410319199,0.013873673583365553,0.009096962667010353,0.007750408128195214,0.01068517205825493,0.009458181390870563,0.16078908364479957,Kim Passa,1.5642144E7,7959,744864,0.01068517205825493,Clement Duchot,1489728.0,6155,744864,0.008263253426128797,Nico Ojenbeer,1.3407552E7,8964,744864,0.012034411650985951,Francis Odell,1.1917824E7,6776,744864,0.009096962667010353,Fjodor Kowalski,1.7876736E7,4819,744864,0.006469637410319199,Elvira Lores,8193504.0,6970,744864,0.00935741289685097,Esmana Liubiata,1.3407552E7,6762,744864,0.009078167289599174,Alberto Duport,1.6387008E7,7598,744864,0.010200519826438114,Christian Francois,1.7876736E7,5205,744864,0.006987852816084547,Anna Kaufmann,2.1601056E7,7080,744864,0.009505090862224513,Heinz Gutschmidt,1.3407552E7,9471,744864,0.012715072818662198,Miu Hanwan,5214048.0,8774,744864,0.011779331528977102,Maris Freeman,5214048.0,10334,744864,0.013873673583365553,Tesca Lobes,2.0856192E7,5485,744864,0.007363760364308115,Anne Olwada,1.9366464E7,6458,744864,0.008670039094385015,Immanuel Karagianni,1.1917824E7,5183,744864,0.006958317223009838,Penn Osterwalder,7448640.0,5773,744864,0.007750408128195214
Role_8,8193504.0,2.234592E7,8193504.0,8193504.0,2.234592E7,1.5269712E7,3.0539424E7,117266.0,120320.0,117266.0,117266.0,120320.0,118793.0,237586.0,744864.0,744864.0,744864.0,744864.0,744864.0,744864.0,1489728.0,0.1574327662499463,0.16153284357949907,0.1574327662499463,0.1574327662499463,0.16153284357949907,0.15948280491472266,0.31896560982944533,Pedro Alvares,2.234592E7,117266,744864,0.1574327662499463,Karalda Nimwada,8193504.0,120320,744864,0.16153284357949907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_1,1489728.0,2.1601056E7,1.3407552E7,8193504.0,1.7876736E7,1.3620370285714285E7,1.90685184E8,55935.0,75077.0,64101.0,62108.0,68595.0,65185.92857142857,912603.0,744864.0,744864.0,744864.0,744864.0,744864.0,744864.0,1.0428096E7,0.07509424539244748,0.10079289642136013,0.08605732053099627,0.08338166430381921,0.09209063667998453,0.08751386638557987,1.2251941293981181,Kim Passa,1.5642144E7,62918,744864,0.08446911113975168,Clement Duchot,1489728.0,66707,744864,0.08955594578339134,Nico Ojenbeer,1.3407552E7,65760,744864,0.0882845727542209,Fjodor Kowalski,1.7876736E7,70886,744864,0.09516636594062809,Elvira Lores,8193504.0,59556,744864,0.07995553550715298,Esmana Liubiata,1.3407552E7,62613,744864,0.08405964041757959,Alberto Duport,1.6387008E7,68595,744864,0.09209063667998453,Christian Francois,1.7876736E7,55935,744864,0.07509424539244748,Anna Kaufmann,2.1601056E7,73577,744864,0.09877910598444817,Miu Hanwan,5214048.0,66867,744864,0.08977075009666194,Tesca Lobes,2.0856192E7,62108,744864,0.08338166430381921,Anne Olwada,1.9366464E7,64101,744864,0.08605732053099627,Immanuel Karagianni,1.1917824E7,75077,744864,0.10079289642136013,Penn Osterwalder,7448640.0,57903,744864,0.07773633844567598,,,,,,,,,,,,,,,
Role_3,2979456.0,1.7876736E7,8193504.0,6703776.0,1.2662688E7,9683232.0,4.841616E7,4203367.0,4403510.0,4246875.0,4229755.0,4289279.0,4274557.2,2.1372786E7,744864.0,744864.0,744864.0,744864.0,744864.0,744864.0,3724320.0,5.643133511620913,5.911830884564162,5.701544174507024,5.678560112987069,5.758472687631568,5.738708274262146,28.693541371310733,Carmen Finacse,1.2662688E7,4246875,744864,5.701544174507024,Esmeralda Clay,8193504.0,4229755,744864,5.678560112987069,Karen Clarens,6703776.0,4203367,744864,5.643133511620913,Kiu Kan,2979456.0,4289279,744864,5.758472687631568,Sean Manney,1.7876736E7,4403510,744864,5.911830884564162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,1.0428096E7,2.1601056E7,1.7876736E7,1.0428096E7,2.1601056E7,1.6635296E7,4.9905888E7,3783427.0,3817672.0,3810287.0,3783427.0,3817672.0,3803795.3333333335,1.1411386E7,744864.0,744864.0,744864.0,744864.0,744864.0,744864.0,2234592.0,5.079352740903038,5.125327576577738,5.115413014993341,5.079352740903038,5.125327576577738,5.106697777491372,15.320093332474116,Karel de Groot,1.7876736E7,3783427,744864,5.079352740903038,Magdalena Predutta,1.0428096E7,3810287,744864,5.115413014993341,Francois de Perrier,2.1601056E7,3817672,744864,5.125327576577738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
