type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload
Role_12,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,4194970.0,4249099.0,4229974.0,4200847.0,4236171.0,4222212.2,2.1111061E7,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,1.3904054378333517,1.4083462707700547,1.4020073687043517,1.392353345150483,1.4040613386965692,1.399434752230962,6.99717376115481,Carmen Finacse,5.1290428E7,4229974,3017084,1.4020073687043517,Esmeralda Clay,3.3187924E7,4236171,3017084,1.4040613386965692,Karen Clarens,2.7153756E7,4249099,3017084,1.4083462707700547,Kiu Kan,1.2068336E7,4194970,3017084,1.3904054378333517,Sean Manney,7.2410016E7,4200847,3017084,1.392353345150483,,,,,,,,,,,,,,,
Role_13,6034168.0,8.4478352E7,3.3187924E7,2.1119588E7,5.4307512E7,4.4501989E7,3.56015912E8,1680.0,1740.0,1680.0,1680.0,1680.0,1687.5,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.4136672E7,5.568290442029457E-4,5.767157957816222E-4,5.568290442029457E-4,5.568290442029457E-4,5.568290442029457E-4,5.593148881502802E-4,0.004474519105202242,Clement Duchot,6034168.0,1740,3017084,5.767157957816222E-4,Miu Hanwan,2.1119588E7,1680,3017084,5.568290442029457E-4,Nico Ojenbeer,5.4307512E7,1680,3017084,5.568290442029457E-4,Tesca Lobes,8.4478352E7,1680,3017084,5.568290442029457E-4,Anne Olwada,7.8444184E7,1680,3017084,5.568290442029457E-4,Immanuel Karagianni,4.8273344E7,1680,3017084,5.568290442029457E-4,Elvira Lores,3.3187924E7,1680,3017084,5.568290442029457E-4,Penn Osterwalder,3.017084E7,1680,3017084,5.568290442029457E-4
Role_10,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,41422.0,43524.0,42873.0,41422.0,43524.0,42606.333333333336,127819.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.013729150398199056,0.014425849595172027,0.014210078340543386,0.013729150398199056,0.014425849595172027,0.01412169277797149,0.042365078333914466,Karel de Groot,7.2410016E7,43524,3017084,0.014425849595172027,Magdalena Predutta,4.2239176E7,41422,3017084,0.013729150398199056,Francois de Perrier,8.7495436E7,42873,3017084,0.014210078340543386,,,,,,,,,,,,,,,,,,,,,,,,,
Role_21,6034168.0,7.2410016E7,3.3187924E7,2.1119588E7,5.4307512E7,4.11077695E7,3.28862156E8,1446.0,1872.0,1646.0,1471.0,1845.0,1687.125,13497.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,2.4136672E7,4.7927071304610676E-4,6.204666492547108E-4,5.455598849750288E-4,4.8755685953722204E-4,6.115176110443063E-4,5.591905959529134E-4,0.004473524767623307,Kim Passa,6.3358764E7,1866,3017084,6.184779740968432E-4,Clement Duchot,6034168.0,1872,3017084,6.204666492547108E-4,Christian Francois,7.2410016E7,1471,3017084,4.8755685953722204E-4,Miu Hanwan,2.1119588E7,1606,3017084,5.323020505892444E-4,Nico Ojenbeer,5.4307512E7,1845,3017084,6.115176110443063E-4,Immanuel Karagianni,4.8273344E7,1745,3017084,5.783730250798453E-4,Elvira Lores,3.3187924E7,1446,3017084,4.7927071304610676E-4,Penn Osterwalder,3.017084E7,1646,3017084,5.455598849750288E-4
Role_11,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,50233.0,53719.0,52142.0,52023.0,53608.0,52345.0,261725.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.016649519867527718,0.017804940134248833,0.01728225001358928,0.017242807956291573,0.01776814964382828,0.01734953352309714,0.08674766761548569,Carmen Finacse,5.1290428E7,53608,3017084,0.01776814964382828,Esmeralda Clay,3.3187924E7,52023,3017084,0.017242807956291573,Karen Clarens,2.7153756E7,53719,3017084,0.017804940134248833,Kiu Kan,1.2068336E7,50233,3017084,0.016649519867527718,Sean Manney,7.2410016E7,52142,3017084,0.01728225001358928,,,,,,,,,,,,,,,
Role_16,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,30005.0,30399.0,30005.0,30005.0,30399.0,30202.0,60404.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.009945033018636537,0.010075622687336515,0.009945033018636537,0.009945033018636537,0.010075622687336515,0.010010327852986526,0.020020655705973053,Pedro Alvares,9.051252E7,30005,3017084,0.009945033018636537,Karalda Nimwada,3.3187924E7,30399,3017084,0.010075622687336515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.3187924E7,9.051252E7,3.3187924E7,3.3187924E7,9.051252E7,6.1850222E7,1.23700444E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,6034168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,9.051252E7,0,3017084,0.0,Karalda Nimwada,3.3187924E7,0,3017084,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.0014915063684007473,0.004474519105202242,Karel de Groot,7.2410016E7,4500,3017084,0.0014915063684007473,Magdalena Predutta,4.2239176E7,4500,3017084,0.0014915063684007473,Francois de Perrier,8.7495436E7,4500,3017084,0.0014915063684007473,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,1.2068336E7,7.2410016E7,3.3187924E7,2.7153756E7,5.1290428E7,3.9222092E7,1.9611046E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,5.1290428E7,0,3017084,0.0,Esmeralda Clay,3.3187924E7,0,3017084,0.0,Karen Clarens,2.7153756E7,0,3017084,0.0,Kiu Kan,1.2068336E7,0,3017084,0.0,Sean Manney,7.2410016E7,0,3017084,0.0,,,,,,,,,,,,,,,
Role_9,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,2484620.0,2524951.0,2487285.0,2484620.0,2524951.0,2498952.0,7496856.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.8235170117901921,0.8368845547555189,0.824400315006145,0.8235170117901921,0.8368845547555189,0.8282672938506187,2.484801881551856,Karel de Groot,7.2410016E7,2524951,3017084,0.8368845547555189,Magdalena Predutta,4.2239176E7,2484620,3017084,0.8235170117901921,Francois de Perrier,8.7495436E7,2487285,3017084,0.824400315006145,,,,,,,,,,,,,,,,,,,,,,,,,
Role_20,3.3187924E7,9.051252E7,7.2410016E7,4.2239176E7,8.7495436E7,6.51690144E7,3.25845072E8,7942.0,11143.0,9938.0,9390.0,11129.0,9908.4,49542.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,1.508542E7,0.0026323430172974964,0.0036933012140198947,0.003293908953148139,0.0031122766220628927,0.00368866097198487,0.0032840981557026583,0.01642049077851329,Karel de Groot,7.2410016E7,11129,3017084,0.00368866097198487,Magdalena Predutta,4.2239176E7,9938,3017084,0.003293908953148139,Pedro Alvares,9.051252E7,9390,3017084,0.0031122766220628927,Francois de Perrier,8.7495436E7,11143,3017084,0.0036933012140198947,Karalda Nimwada,3.3187924E7,7942,3017084,0.0026323430172974964,,,,,,,,,,,,,,,
Role_5,4.2239176E7,8.7495436E7,7.2410016E7,4.2239176E7,8.7495436E7,6.738154266666667E7,2.02144628E8,102752.0,106161.0,105185.0,102752.0,106161.0,104699.33333333333,314098.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,3017084.0,9051252.0,0.03405672497020302,0.0351866239057315,0.03486313274671835,0.03405672497020302,0.0351866239057315,0.03470216054088429,0.10410648162265287,Karel de Groot,7.2410016E7,102752,3017084,0.03405672497020302,Magdalena Predutta,4.2239176E7,106161,3017084,0.0351866239057315,Francois de Perrier,8.7495436E7,105185,3017084,0.03486313274671835,,,,,,,,,,,,,,,,,,,,,,,,,
